state_district,scst,stunting_rate,underweight_rate,wasting_rate,mean_haz,mean_waz,mean_whz,mean_age,mean_hhsize,mean_wealth,prop_literate,prop_male,prop_urban,pop_weighted,n_obs,state_name,district_name,survey_month,survey_year,post,phase2,months_since_covid
andhra pradesh - anantapur,0,0.42441981986286426,0.3738351708902649,0.14284251685185773,-156.45310657756397,-163.09302551588394,-105.82209679311896,25.765874189729022,5.954223553637618,0.27979400753635975,0.792860105083255,0.4657976900530773,0.31595284919985206,386.610788,132,andhra pradesh,anantapur,7,2015,0,0,0
andhra pradesh - anantapur,1,0.4028816460993099,0.442281210381037,0.16981869187257462,-169.16271078420112,-185.36540904414034,-127.83835245737036,26.311160660559555,5.083750751266833,-0.18056210992079372,0.6022774125971535,0.49776205983019195,0.2670768130348026,133.414648,46,andhra pradesh,anantapur,7,2015,0,0,0
andhra pradesh - chittoor,0,0.30059738070241754,0.2908901183186934,0.17051405664984173,-101.36541597088032,-126.32057791827609,-101.28424889755439,24.976524763910156,6.072964944990275,0.46498763083094113,0.8517075234766702,0.5030150624417988,0.3583940471436383,382.116796,118,andhra pradesh,chittoor,6,2015,0,0,0
andhra pradesh - chittoor,1,0.38894339291800406,0.43121719006524545,0.19214927446749444,-165.8687143850333,-174.76553400442424,-114.71825312121928,25.762277624433654,6.087762451946173,0.028564619857409258,0.7464818527842007,0.46193565439088863,0.17921918494532024,174.797475,54,andhra pradesh,chittoor,6,2015,0,0,0
andhra pradesh - east godavari,0,0.2619426158307689,0.22778268522261502,0.13735169664082097,-109.83364928669631,-121.02318570790554,-84.91070179843061,24.114465575957123,5.067943106787501,0.33407730584536216,0.8154627944577698,0.4553985760596222,0.2417448472247008,472.713753,118,andhra pradesh,east godavari,5,2015,0,0,0
andhra pradesh - east godavari,1,0.21043504881410635,0.30980827633962427,0.18638120055953716,-107.12939644574695,-137.14539751807735,-107.7599662044115,24.3867897566677,5.35730243929276,0.003136694840285751,0.9201878692847344,0.4644645785411783,0.11624869627767767,181.58583000000002,47,andhra pradesh,east godavari,5,2015,0,0,0
andhra pradesh - guntur,0,0.216373017090811,0.3778581287507094,0.20107215061646114,-102.17360252596553,-135.26386421509807,-107.9993304827822,24.89197806833319,5.229845187280314,0.43487227635804027,0.8588172472625013,0.6488822936204834,0.4428404899716343,279.936042,72,andhra pradesh,guntur,6,2015,0,0,0
andhra pradesh - guntur,1,0.43715866423197375,0.3566686677659913,0.10019565756705955,-175.47225409323224,-186.39218380995166,-113.49711756745813,24.86667351018743,6.003660733700138,0.19915465783941608,0.6592244753125346,0.5876501130261781,0.15975333592245589,105.472026,23,andhra pradesh,guntur,6,2015,0,0,0
andhra pradesh - krishna,0,0.17073388082848104,0.25489048582046175,0.17117166944746917,-99.2670838141456,-120.55105392076297,-97.03034693372126,24.394188633697876,5.9871500887620535,0.6380534653827068,0.9180766964842642,0.5859438236920683,0.4886340370703991,349.945141,100,andhra pradesh,krishna,6,2015,0,0,0
andhra pradesh - krishna,1,0.21937808080167925,0.3678957780612197,0.395040425886381,-77.31369515561074,-147.6414152266981,-153.94507893341697,24.35588065435858,5.730818251818075,-0.1378314704058983,0.7063944739207968,0.4098440761892763,0.11938668019698916,131.75345,31,andhra pradesh,krishna,6,2015,0,0,0
andhra pradesh - kurnool,0,0.45326315977912945,0.3970654079973411,0.22833742166102425,-171.9405018403889,-175.82313440514102,-115.08828751720503,25.317743498185003,6.674900827802888,0.15653044456402654,0.5790849187430716,0.5608097788874807,0.21792967408330086,478.612972,179,andhra pradesh,kurnool,7,2015,0,0,0
andhra pradesh - kurnool,1,0.4860512807648201,0.3653622663626864,0.07489916400984238,-195.14964437229443,-168.86339835180308,-81.00334627494564,24.93434049504118,6.384806528045336,-0.10137170664549437,0.4605021207417951,0.44157301413656164,0.17679624447005898,163.676927,60,andhra pradesh,kurnool,7,2015,0,0,0
andhra pradesh - prakasam,0,0.3121378980555596,0.304234136659895,0.14764174692391782,-122.2995099439287,-132.1764670339876,-88.79958845970393,25.40989541516031,6.047670754550022,0.31474471223780537,0.6670678319731892,0.5919344427848646,0.13989373945761915,302.123999,120,andhra pradesh,prakasam,7,2015,0,0,0
andhra pradesh - prakasam,1,0.21339746639760787,0.32246262294708516,0.18770058501190431,-119.64175329961516,-154.6799607988552,-126.66725238657638,23.98811583594282,6.19404273811906,-0.038888403495376235,0.6537089854907481,0.5389508053641774,0.02704730301444634,190.864834,76,andhra pradesh,prakasam,6,2015,0,0,0
andhra pradesh - sri potti sriramulu nellore,0,0.3579284550141393,0.20600280113520572,0.0867478278953379,-117.91473083314969,-104.35425451100048,-51.43397604331835,24.55772022751928,5.607429710028012,0.5016212735379433,0.8944543097790054,0.4412204843905067,0.2651053536258047,233.655983,101,andhra pradesh,sri potti sriramulu nellore,7,2015,0,0,0
andhra pradesh - sri potti sriramulu nellore,1,0.19601414298724426,0.30636673773643486,0.2151742846411636,-106.95360965018045,-143.3403737358957,-117.44482912278416,23.779101843287044,6.555180474346337,-0.15564787456394705,0.6048960010540041,0.5073137101682711,0.24353121641900857,146.397926,63,andhra pradesh,sri potti sriramulu nellore,6,2015,0,0,0
andhra pradesh - srikakulam,0,0.2591417503772692,0.24566793539075488,0.1399888658269369,-122.51562403170439,-137.85561883280735,-99.26155244440324,24.273458729924698,6.208514154653748,0.09891154851949018,0.8172999540892749,0.5126955101431238,0.1089886919753591,339.933642,171,andhra pradesh,srikakulam,5,2015,0,0,0
andhra pradesh - srikakulam,1,0.45525324091185654,0.5288618464378707,0.2110837319385033,-198.48288852831777,-204.2670707096419,-127.14136457608996,24.083660217951362,5.392274498344551,-0.36442155670919957,0.7328225408235273,0.5692723786611235,0.058857003724022285,69.770796,32,andhra pradesh,srikakulam,5,2015,0,0,0
andhra pradesh - visakhapatnam,0,0.27715879623978584,0.33549457119978604,0.18578779722478822,-126.17141147076924,-145.59825817078752,-103.31964238082122,25.20296636184483,5.618861819705391,0.43689507831960295,0.7913863346404195,0.449548133659013,0.4524905802053364,393.371632,111,andhra pradesh,visakhapatnam,5,2015,0,0,0
andhra pradesh - visakhapatnam,1,0.30552434135859324,0.3168838565481092,0.20411002631233463,-120.77057815334429,-154.6844228409107,-123.06497671511855,25.757771286940258,5.909344831386504,-0.2988231158179406,0.652474009526019,0.4507795837874268,0.29065879942935136,136.277911,38,andhra pradesh,visakhapatnam,5,2015,0,0,0
andhra pradesh - vizianagaram,0,0.37232704461524263,0.3435699974267078,0.17171864920167135,-150.8103524652489,-159.98255403525667,-107.1721823469991,25.298939613085256,6.191146702084828,0.20482151424864467,0.6132625949228524,0.5114921150480649,0.19767720595391464,277.11583,151,andhra pradesh,vizianagaram,5,2015,0,0,0
andhra pradesh - vizianagaram,1,0.3970109767143256,0.35854646991695777,0.21081269323822943,-158.90403849701482,-161.56130464655058,-103.57452591086228,24.541533599948515,5.656309468043018,-0.6045477781155455,0.6147175682668992,0.5755650413727422,0.09268065733592122,75.489074,49,andhra pradesh,vizianagaram,5,2015,0,0,0
andhra pradesh - west godavari,0,0.3188601134391716,0.2833441495808651,0.18415986120776684,-122.87011679657404,-146.54401488730522,-110.58830541309261,25.047649008611877,5.741950223738721,0.4570783504163879,0.8670981381796111,0.6269306087315205,0.12458993295849927,328.584381,101,andhra pradesh,west godavari,5,2015,0,0,0
andhra pradesh - west godavari,1,0.2371145127537264,0.2881439227950634,0.0,-120.0502613412617,-106.08630574478177,-31.40556623171586,24.66441470872845,4.473501819216435,0.05858930105625786,0.8833712532872978,0.41021942599250033,0.0,52.05263,17,andhra pradesh,west godavari,5,2015,0,0,0
