,state_district,post,phase2,pct_rural,pct_urban,count,hw70_mean,hw71_mean,hw72_mean,stunting_pct,underweight_pct,wasting_pct,scst,state,district,matched_census_district,merge_state,merge_district,Literate_Prop,SCST_Prop,Population
0,andhra pradesh - anantapur,0,0,74.15730337078652,25.842696629213485,132,-157.62878787878788,-163.5530303030303,-106.1439393939394,42.42424242424242,37.121212121212125,14.393939393939394,0,andhra pradesh,anantapur,anantapur,andhra pradesh,anantapur,0.5662524368143473,0.18065064045704787,4081148.0
1,andhra pradesh - anantapur,0,0,74.15730337078652,25.842696629213485,46,-168.2173913043478,-184.56521739130437,-127.2608695652174,39.130434782608695,43.47826086956522,17.391304347826086,1,andhra pradesh,anantapur,anantapur,andhra pradesh,anantapur,0.5662524368143473,0.18065064045704787,4081148.0
2,andhra pradesh - anantapur,1,0,75.14124293785311,24.858757062146893,119,-148.6386554621849,-158.0672268907563,-98.72268907563026,35.294117647058826,36.97478991596639,16.80672268907563,0,andhra pradesh,anantapur,anantapur,andhra pradesh,anantapur,0.5662524368143473,0.18065064045704787,4081148.0
3,andhra pradesh - anantapur,1,0,75.14124293785311,24.858757062146893,58,-190.3793103448276,-176.13793103448276,-99.25862068965516,44.82758620689656,48.27586206896552,20.689655172413797,1,andhra pradesh,anantapur,anantapur,andhra pradesh,anantapur,0.5662524368143473,0.18065064045704787,4081148.0
4,andhra pradesh - chittoor,0,0,72.09302325581395,27.906976744186046,118,-99.64406779661016,-124.35593220338984,-99.7542372881356,29.66101694915254,28.8135593220339,16.94915254237288,0,andhra pradesh,chittoor,chittoor,andhra pradesh,chittoor,0.6391559880250998,0.22638009383660623,4174064.0
5,andhra pradesh - chittoor,0,0,72.09302325581395,27.906976744186046,54,-164.33333333333334,-173.75925925925927,-114.35185185185183,38.88888888888889,42.5925925925926,18.51851851851852,1,andhra pradesh,chittoor,chittoor,andhra pradesh,chittoor,0.6391559880250998,0.22638009383660623,4174064.0
6,andhra pradesh - chittoor,1,0,84.69945355191257,15.300546448087433,99,-123.52525252525253,-135.74747474747474,-94.42424242424242,22.22222222222222,21.21212121212121,10.1010101010101,0,andhra pradesh,chittoor,chittoor,andhra pradesh,chittoor,0.6391559880250998,0.22638009383660623,4174064.0
7,andhra pradesh - chittoor,1,0,84.69945355191257,15.300546448087433,84,-153.83333333333334,-170.88095238095238,-120.64285714285714,35.714285714285715,36.90476190476191,17.857142857142858,1,andhra pradesh,chittoor,chittoor,andhra pradesh,chittoor,0.6391559880250998,0.22638009383660623,4174064.0
8,andhra pradesh - east godavari,0,0,80.0,20.0,118,-110.08474576271186,-120.8813559322034,-84.49152542372882,26.27118644067797,22.033898305084744,13.559322033898304,0,andhra pradesh,east godavari,east godavari,andhra pradesh,east godavari,0.6380264152466215,0.22475697942066192,5154296.0
9,andhra pradesh - east godavari,0,0,80.0,20.0,47,-107.17021276595744,-139.25531914893617,-110.82978723404256,21.27659574468085,31.91489361702128,19.148936170212767,1,andhra pradesh,east godavari,east godavari,andhra pradesh,east godavari,0.6380264152466215,0.22475697942066192,5154296.0
10,andhra pradesh - east godavari,1,0,71.85185185185186,28.14814814814815,116,-91.84482758620688,-106.9396551724138,-79.18103448275862,17.24137931034483,18.96551724137931,12.93103448275862,0,andhra pradesh,east godavari,east godavari,andhra pradesh,east godavari,0.6380264152466215,0.22475697942066192,5154296.0
11,andhra pradesh - east godavari,1,0,71.85185185185186,28.14814814814815,19,-186.52631578947367,-165.10526315789474,-82.89473684210526,36.84210526315789,36.84210526315789,10.526315789473683,1,andhra pradesh,east godavari,east godavari,andhra pradesh,east godavari,0.6380264152466215,0.22475697942066192,5154296.0
12,andhra pradesh - guntur,0,0,50.526315789473685,49.47368421052632,72,-105.81944444444444,-133.41666666666666,-103.13888888888889,22.22222222222222,34.72222222222222,18.055555555555557,0,andhra pradesh,guntur,guntur,andhra pradesh,guntur,0.6056780404651324,0.24642841287095066,4887813.0
13,andhra pradesh - guntur,0,0,50.526315789473685,49.47368421052632,23,-165.1304347826087,-183.7391304347826,-118.0,43.47826086956522,34.78260869565217,13.043478260869565,1,andhra pradesh,guntur,guntur,andhra pradesh,guntur,0.6056780404651324,0.24642841287095066,4887813.0
14,andhra pradesh - guntur,1,0,67.70833333333334,32.29166666666667,74,-122.63513513513512,-117.56756756756756,-66.13513513513513,25.675675675675677,27.027027027027028,18.91891891891892,0,andhra pradesh,guntur,guntur,andhra pradesh,guntur,0.6056780404651324,0.24642841287095066,4887813.0
15,andhra pradesh - guntur,1,0,67.70833333333334,32.29166666666667,22,-109.77272727272728,-100.45454545454544,-45.18181818181818,22.727272727272727,13.636363636363637,13.636363636363637,1,andhra pradesh,guntur,guntur,andhra pradesh,guntur,0.6056780404651324,0.24642841287095066,4887813.0
16,andhra pradesh - krishna,0,0,49.61832061068702,50.38167938931297,100,-92.12,-110.12,-87.89,17.0,23.0,15.0,0,andhra pradesh,krishna,krishna,andhra pradesh,krishna,0.6662503503122815,0.2221471298300482,4517398.0
